事件名,caseIdE,重要判例,決定日時,西暦,元号,選挙名,選挙日時,院,原審,原審日時,原審結果,最大較差,投票価値の平等,法廷,判決時長官裁判長,多数意見,反対意見,補足意見,意見,違憲状態累積,違憲状態,違憲累積,違憲,違憲無効,違憲無効だが当選,合憲状態,その他,裁判官数,裁判官Id,裁判官名,裁判官名E,裁判官投票,裁判官投票,投票カテゴリー,裁判官投票方向,投票方向ダミー,現職,性別,所属法廷,長官,出身地,出身地分類,生年月日,司法修習期,任期始期,任期終期,長官任期,任命内閣,任命政党,出身大学,大学分類,出身,裁判官経験,弁護士経験,検察経験,外交官経験,官僚経験,学者経験,民間経験,ねじれ,注目度年,注目度,内閣支持率(%),内閣支持率,不支持率(%),不支持率,与党支持率(%),与党支持率
昭和38(オ)422号,1963(O)422,1,1964/2/5,1964,昭和39年,第6回参議院議員選挙,1962/7/1,参議院,東京高等裁判所,1963/1/30,合憲,4.088,合憲,大法廷,横田喜三郎,12,0,0,1,0,0,0,0,0,0,12,1,13,34,斎藤朔郎,Kitaro Saito,意見,訴えは不適格,0,その他,0,0,1,1,0,大阪,2,1900/1/31,,1962/5/29,1964/8/9,,池田勇人,自民党,東京大学法学部,1,裁判官,1,1,0,0,1,1,0,0,0,0,38,0.38,30,0.3,44,0.44
昭和38(オ)422号,1963(O)422,1,1964/2/5,1964,昭和39年,第6回参議院議員選挙,1962/7/1,参議院,東京高等裁判所,1963/1/30,合憲,4.088,合憲,大法廷,横田喜三郎,12,0,0,1,0,0,0,0,0,0,12,1,13,30,横田喜三郎,Kisazaburo Yokota,多数意見,合憲,1,合憲,0,0,1,1,1,愛知,2,1896/8/6,,1960/10/25,1966/8/5,1960/10/25,池田勇人,自民党,東京大学法学部,1,大学教授,0,0,0,0,0,1,0,0,0,0,38,0.38,30,0.3,44,0.44
昭和38(オ)422号,1963(O)422,1,1964/2/5,1964,昭和39年,第6回参議院議員選挙,1962/7/1,参議院,東京高等裁判所,1963/1/30,合憲,4.088,合憲,大法廷,横田喜三郎,12,0,0,1,0,0,0,0,0,0,12,1,13,21,入江俊郎,Toshiro Irie,多数意見,合憲,1,合憲,0,0,1,1,0,東京,1,1901/1/10,,1952/8/30,1971/1/9,,吉田茂,自由党,東京大学法学部,1,官僚,0,0,0,0,1,0,0,0,0,0,38,0.38,30,0.3,44,0.44
昭和38(オ)422号,1963(O)422,1,1964/2/5,1964,昭和39年,第6回参議院議員選挙,1962/7/1,参議院,東京高等裁判所,1963/1/30,合憲,4.088,合憲,大法廷,横田喜三郎,12,0,0,1,0,0,0,0,0,0,12,1,13,26,奥野健一,Kenichi Okuno,多数意見,合憲,1,合憲,0,0,1,2,0,和歌山,3,1898/11/18,,1956/11/22,1968/11/17,,鳩山一郎,自民党,東京大学法学部,1,官僚,1,0,0,0,1,0,0,0,0,0,38,0.38,30,0.3,44,0.44
昭和38(オ)422号,1963(O)422,1,1964/2/5,1964,昭和39年,第6回参議院議員選挙,1962/7/1,参議院,東京高等裁判所,1963/1/30,合憲,4.088,合憲,大法廷,横田喜三郎,12,0,0,1,0,0,0,0,0,0,12,1,13,29,石坂修一,Shuichi Ishizaka,多数意見,合憲,1,合憲,0,0,1,3,0,富山,3,1895/9/14,,1958/6/28,1965/9/13,,岸信介,自民党,東京大学法学部,1,裁判官,1,0,0,0,0,0,0,0,0,0,38,0.38,30,0.3,44,0.44
昭和38(オ)422号,1963(O)422,1,1964/2/5,1964,昭和39年,第6回参議院議員選挙,1962/7/1,参議院,東京高等裁判所,1963/1/30,合憲,4.088,合憲,大法廷,横田喜三郎,12,0,0,1,0,0,0,0,0,0,12,1,13,31,山田作之助,Sakunosuke Yamada,多数意見,合憲,1,合憲,0,0,1,2,0,東京,1,1896/4/22,,1960/12/27,1966/4/21,,池田勇人,自民党,東京大学法学部,1,弁護士,1,1,0,0,0,0,0,0,0,0,38,0.38,30,0.3,44,0.44
昭和38(オ)422号,1963(O)422,1,1964/2/5,1964,昭和39年,第6回参議院議員選挙,1962/7/1,参議院,東京高等裁判所,1963/1/30,合憲,4.088,合憲,大法廷,横田喜三郎,12,0,0,1,0,0,0,0,0,0,12,1,13,32,五鬼上堅磐,Kakiwa Gokijyo,多数意見,合憲,1,合憲,0,0,1,3,0,三重,3,1897/1/1,,1961/8/26,1966/12/31,,池田勇人,自民党,中央大学法学部,3,裁判官,1,1,0,0,0,0,0,0,0,0,38,0.38,30,0.3,44,0.44
昭和38(オ)422号,1963(O)422,1,1964/2/5,1964,昭和39年,第6回参議院議員選挙,1962/7/1,参議院,東京高等裁判所,1963/1/30,合憲,4.088,合憲,大法廷,横田喜三郎,12,0,0,1,0,0,0,0,0,0,12,1,13,33,横田正俊,Masatoshi Yokota,多数意見,合憲,1,合憲,0,0,1,3,1,長野,3,1899/1/11,,1962/2/28,1969/1/10,1966/8/6,池田勇人,自民党,東京大学法学部,1,裁判官,1,0,0,0,0,0,0,0,0,0,38,0.38,30,0.3,44,0.44
昭和38(オ)422号,1963(O)422,1,1964/2/5,1964,昭和39年,第6回参議院議員選挙,1962/7/1,参議院,東京高等裁判所,1963/1/30,合憲,4.088,合憲,大法廷,横田喜三郎,12,0,0,1,0,0,0,0,0,0,12,1,13,35,草鹿浅之介,Asanosuke Kusaka,多数意見,合憲,1,合憲,0,0,1,2,0,石川,3,1900/10/25,,1962/8/12,1970/10/24,,池田勇人,自民党,京都帝国大学法学部,2,検察官,1,0,1,0,0,0,0,0,0,0,38,0.38,30,0.3,44,0.44
昭和38(オ)422号,1963(O)422,1,1964/2/5,1964,昭和39年,第6回参議院議員選挙,1962/7/1,参議院,東京高等裁判所,1963/1/30,合憲,4.088,合憲,大法廷,横田喜三郎,12,0,0,1,0,0,0,0,0,0,12,1,13,36,長部謹吾,Kingo Osabe,多数意見,合憲,1,合憲,0,0,1,1,0,神奈川,2,1901/4/1,,1963/4/5,1971/3/31,,池田勇人,自民党,東京大学法学部,1,検察官,0,0,1,0,0,0,1,0,0,0,38,0.38,30,0.3,44,0.44
昭和38(オ)422号,1963(O)422,1,1964/2/5,1964,昭和39年,第6回参議院議員選挙,1962/7/1,参議院,東京高等裁判所,1963/1/30,合憲,4.088,合憲,大法廷,横田喜三郎,12,0,0,1,0,0,0,0,0,0,12,1,13,38,城戸芳彦,Yoshihiko Kido,多数意見,合憲,1,合憲,0,0,1,2,0,福岡,2,1900/12/20,,1963/6/6,1970/12/19,,池田勇人,自民党,日本大学商科,3,弁護士,0,1,0,0,0,0,1,0,0,0,38,0.38,30,0.3,44,0.44
昭和38(オ)422号,1963(O)422,1,1964/2/5,1964,昭和39年,第6回参議院議員選挙,1962/7/1,参議院,東京高等裁判所,1963/1/30,合憲,4.088,合憲,大法廷,横田喜三郎,12,0,0,1,0,0,0,0,0,0,12,1,13,37,石田和外,Kazuto Ishida,多数意見,合憲,1,合憲,0,0,1,2,1,福井,3,1993/5/20,,1963/6/6,1973/5/19,1969/1/11,池田勇人,自民党,東京大学法学部,1,裁判官,1,0,0,0,0,0,0,0,0,0,38,0.38,30,0.3,44,0.44
昭和38(オ)422号,1963(O)422,1,1964/2/5,1964,昭和39年,第6回参議院議員選挙,1962/7/1,参議院,東京高等裁判所,1963/1/30,合憲,4.088,合憲,大法廷,横田喜三郎,12,0,0,1,0,0,0,0,0,0,12,1,13,25,下飯坂潤夫,Masuo Shimoizaka,多数意見,合憲,1,合憲,0,0,1,1,0,宮城,2,1894/1/29,,1956/11/22,1964/1/28,,鳩山一郎,自民党,東京大学法学部,1,裁判官,1,0,0,0,0,0,0,0,0,0,38,0.38,30,0.3,44,0.44
昭和38(オ)655号,1963(O)655,0,1966/5/31,1966,昭和41年,第6回参議院議員選挙,1962/7/1,参議院,仙台高等裁判所,1963/3/28,合憲,4.088,合憲,第3小法廷,横田喜三郎,3,0,0,1,0,0,0,0,0,0,3,1,4,40,田中二郎,Jiro Tanaka,意見,訴えは不適格,0,その他,0,0,1,3,0,兵庫,2,1906/7/14,,1964/1/16,1973/3/31,,池田勇人,自民党,東京大学法学部,1,大学教授,0,0,0,0,0,1,0,0,0,0,30,0.3,26,0.26,36,0.36
